name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
Barsac (Premier Grand Cru Classé) 2016,2016,16786,4.5,72.16424582349427,Château Climens,71,fr,"('earth',)","(421,)","('tree_fruit',)","(346,)","('citrus_fruit',)","(245,)","('oak',)","(228,)","('non_oak',)","(199,)"
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2019,2019,1145360,4.3,129.2942737670939,Château Canon,71,fr,"('oak',)","(613,)","('black_fruit',)","(538,)","('earth',)","(511,)","('non_oak',)","(429,)","('red_fruit',)","(305,)"
Gevrey-Chambertin 2017,2017,86261,4.2,80.2994281651706,Henri Rebourseau,70,fr,"('red_fruit',)","(41,)","('oak',)","(29,)","('earth',)","(27,)","('non_oak',)","(22,)","('microbio',)","(16,)"
Saint-Émilion Grand Cru (Grand Cru Classé) 2018,2018,87506,4.2,62.14143390356451,Château Soutard,70,fr,"('oak',)","(252,)","('earth',)","(244,)","('black_fruit',)","(203,)","('non_oak',)","(146,)","('red_fruit',)","(115,)"
Chambolle-Musigny 2016,2016,2834,4.2,59.034362208386284,Louis Jadot,70,fr,"('red_fruit',)","(55,)","('earth',)","(37,)","('oak',)","(31,)","('black_fruit',)","(16,)","('spices',)","(15,)"
Femme de Champagne 2004,2004,1192392,4.2,80.13238129983843,Duval-Leroy,70,fr,"('non_oak',)","(89,)","('microbio',)","(83,)","('oak',)","(81,)","('tree_fruit',)","(73,)","('citrus_fruit',)","(71,)"
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,2014,1107102,4.2,99.22583800730463,Château Trotte Vieille,70,fr,"('oak',)","(187,)","('earth',)","(143,)","('black_fruit',)","(132,)","('non_oak',)","(124,)","('spices',)","(83,)"
Barolo Prapò 2016,2016,1107960,4.1,69.39126785898037,Ettore Germano,70,fr,"('oak',)","(46,)","('earth',)","(41,)","('red_fruit',)","(41,)","('spices',)","(31,)","('non_oak',)","(29,)"
Saint-Julien (Grand Cru Classé) 1983,1983,1172272,4.0,76.17337059146618,Château Branaire-Ducru,70,fr,"('oak',)","(1208,)","('black_fruit',)","(1041,)","('earth',)","(983,)","('non_oak',)","(774,)","('spices',)","(502,)"
Fronholz Pinot Noir 2017,2017,2585859,3.9,51.116340791641775,Domaine Ostertag,70,fr,"('red_fruit',)","(22,)","('spices',)","(17,)","('oak',)","(17,)","('earth',)","(15,)","('non_oak',)","(12,)"
Margaux 1990,1990,778823,4.2,60.08675745997891,Château Siran,70,fr,"('oak',)","(489,)","('black_fruit',)","(405,)","('earth',)","(384,)","('non_oak',)","(297,)","('spices',)","(248,)"
Sauternes (Premier Grand Cru Classé) 2018,2018,1174845,4.1,57.34718886853145,Château Suduiraut,70,fr,"('earth',)","(1340,)","('tree_fruit',)","(1020,)","('oak',)","(765,)","('citrus_fruit',)","(726,)","('non_oak',)","(682,)"
Pomerol 2014,2014,1112303,4.0,66.4512430291343,Château Vray Croix de Gay,69,fr,"('oak',)","(107,)","('earth',)","(95,)","('black_fruit',)","(75,)","('non_oak',)","(50,)","('red_fruit',)","(39,)"
Vougeot Les Cras Premier Cru 2007,2007,79014,4.3,80.58340783623527,Domaine de la Vougeraie,69,fr,"('red_fruit',)","(24,)","('earth',)","(21,)","('oak',)","(14,)","('spices',)","(10,)","('non_oak',)","(9,)"
Les Bastides d'Alquier Faugères 2010,2010,1108714,4.1,50.013831480449504,Bardi d'Alquier,69,fr,"('black_fruit',)","(27,)","('oak',)","(25,)","('earth',)","(21,)","('non_oak',)","(13,)","('red_fruit',)","(12,)"
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2019,2019,43154,4.2,110.25093111922736,Clos Fourtet,69,fr,"('oak',)","(413,)","('black_fruit',)","(349,)","('earth',)","(332,)","('non_oak',)","(259,)","('red_fruit',)","(187,)"
Grünlack Riesling Spätlese 2011,2011,1608522,4.1,82.18705774342403,Schloss Johannisberg,69,fr,"('tree_fruit',)","(241,)","('earth',)","(221,)","('citrus_fruit',)","(142,)","('tropical_fruit',)","(101,)","('microbio',)","(34,)"
Pomerol 2018,2018,82454,4.0,90.10507916016854,Château Nénin,69,fr,"('oak',)","(449,)","('earth',)","(356,)","('black_fruit',)","(353,)","('non_oak',)","(271,)","('red_fruit',)","(225,)"
Le Petit Lion Saint-Julien 2017,2017,1252559,4.2,56.12774675160666,Château Léoville Las Cases,69,fr,"('oak',)","(140,)","('black_fruit',)","(128,)","('earth',)","(109,)","('non_oak',)","(108,)","('spices',)","(84,)"
Cuvée du Passiflore Saint-Romain 2016,2016,7041451,3.8,51.116340791641775,Laurent Ponsot,69,fr,"('tree_fruit',)","(9,)","('earth',)","(7,)","('tropical_fruit',)","(4,)","('citrus_fruit',)","(3,)","('oak',)","(3,)"
